2022-10-19 10:54:20 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:20 | 291.417µs | 127.0.0.1 | GET | 200 |/group1/reload?action=get
2022-10-19 10:54:20 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:20 | 330.416µs | 127.0.0.1 | POST | 200 |/group1/reload?action=set
2022-10-19 10:54:20 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:20 | 626.083µs | 127.0.0.1 | GET | 200 |/group1/reload?action=reload
2022-10-19 10:54:20 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:20 | 762.375µs | 127.0.0.1 | POST | 200 |/group1/big/upload/
2022-10-19 10:54:20 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:20 | 2.042208ms | 127.0.0.1 | PATCH | 200 |/group1/big/upload/113d26534206bf58cce280aff94e7a0f
2022-10-19 10:54:21 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:21 | 1.572708ms | 127.0.0.1 | GET | 200 |/group1/big/upload/113d26534206bf58cce280aff94e7a0f
2022-10-19 10:54:21 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:21 | 565µs | 127.0.0.1 | POST | 200 |/group1/big/upload/
2022-10-19 10:54:21 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:21 | 1.659334ms | 127.0.0.1 | PATCH | 200 |/group1/big/upload/2bcd747ac4cddf181147e6be808b5774
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 10.035666ms | 127.0.0.1 | GET | 200 |/group1/big/upload/2bcd747ac4cddf181147e6be808b5774
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 18.182959ms | 127.0.0.1 | POST | 200 |/group1/upload
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 479.542µs | 127.0.0.1 | GET | 200 |/group1/haystack/5/188,0,402433,.txt?name=188%2C0%2C402433%2C.txt&download=1
